MUSIC NAME	Singer	Genre
Sun & Moon of My Heart	Jay Chou	slow, love
When wind blows again	Im Yoon-ah	energetic, love
Monica	Leslie Cheung	fast, pop
Thousands of Songs	Priscilla Chan	happy
Can You Feel the Love Tonight	Evelyn Lee	children
Scarecrow	5 Shazamas	pop
The Moon Represents My Heart	Teresa Teng	love
Dragon Rider	Jay Chou	motivation
Love You More Each Day	Jay Chou	slow, love
Chase	Leslie Cheung	childish
For the Children	Oscar Harris	kids
You Will Always Be My Love	Yehonathan	slow, love
Fiya	william	-
Clubbing Girl	Wang Leehom	rock, pop
KISS GOODBYE	Wang Leehom	Mandarin pop
That year	Brandi Carlile	love, sad
Still Think You're the Best		
Call You Mine	The  Chainsmokers, Bebe Rexha	rock, edm
The Crescent	Lui Fong	rock, edm
Bosom Friend	Li Gu Yi	friendship, slow
Stranger In The North	Namewee	pop
Peking Opera Blues	Sally Yeh	slow rock
The Little Girl Under the Streetlight	Wen Song	
Shadow Play	Peng Shi Liu	opera, slow
From Now On	Hugh Jackman	
Call Me by Your Name	Lil Nas X	pop, desire
Diary: Fly For Love	Jay Chou	
Hand in Hand	Zhang Hui Mei	
Silence is Gold	Leslie Cheung	
The Era	Jay Chou	Mandopop
Big Bowl Thick Noodles	Kris Wu	
November Rain	Kris Wu	
Side Face	Ce Lian	
Explore		
You Are a Song Within My Heart	Jay Chou	slow, love
Love of Houston		
Heartburn	Wafia	
Big City, Small Love	Wang Leehom	
The Promised Love	Jay Chou	
The Only Thing That Matters	Leslie Cheung	
And Me		
The Sun Washed by Spring Rain	Wang Lee Hong	
Coffee	Lu Han	
It's Time	Imagine Dragons	rock, indie
Once	Pearl Jam	rock,
Open Fire	Leehom Wang	
Healing Rice Dumpling	Jay Chou	
After Leaving	Liu De hua	sad, slow
Not The End Of The World	ZhoU Jie Lun	
I'm a Good Friend		
Need Some Company	Wang Li Hong	love
Hold me down	Kris Wu	love
Love for Eternity	Van Snyder	Dance, Electronic
I Can't Forget You	Jay Chou	slow, love
Begone Love	Mindy Quah	love
Heroes of Earth	Leehom Wang	Mandopop
Sinner	Xu Meijing	pain
Ocean	Joshua Band	slow, sad
Hand in Hand Promise	Zhang Hui Mei	love
A Balloon's Journey	Yukari Okano	pop
Little Love	Julie Sue	love
Can't Fight The Feeling	glee	love
The 18 Martial Arts	Wang Leehoms	R and B
Free Tutorial Video		
Sleepless Night	Meng Jun	sad, slow
Melancholy Blue+Girl's Mind+Unruly Wind+Monica	Queen	rock, pop
Happy Birthday to Me		
Earth Chorus	Leslie Cheung	environmental, slow
Love Now	Marieme	love, slow
Thousand Sad Reasons	Li Jia Dong Yin	sad, slow
Fireworks Cool Easily	Jay Chou	Sad
Rainbow	Jay Chou	pop
I Waited Until the Flower Withered	Zhang Xue You	Love,sad
The Butterfly Murders	Lin Zixiang	Sad
Love is Simple	David Tao	Country
Enchanting Melody	Zhou Jie Lun	Slow
A Simple Song	Chris Stapleton	casual, pop
Deserve	Kris wu	Hip Hop
Sentimental Past		
Gardenia	Xheng Zulan	Energetic
Kiss Goodbye	Wang Leehom	Mandarin pop
Must Be Happy	Yao Xing Fu	happy, slow
Snake Dance	Jay Chou	fun, rock, pop
Coupe	Pop Smoke	pop, rock
She's Gone Far Away	Jay Mars	slow, romantic
Promise	Ciara	slow, love
For Your Heart Only	Leslie Cheung	love, slow
Ode To Joy	Zhang Liang Ying	joy, rock, pop
The Years Flow Like Water	Leslie Cheung, Anita Mui	Nostalgia, slow
Revolution	The Score	motivation, rock
JULY	Noah Cyrus	-
Love Confession	Jay Chou	Love, euphoria
Lingering Memory of Past Love	Jay Chou	Love, sad
It's Enough	Gogo	Love, sad
Run	Exo-M	Rock, Motivation
Seaside	The Kooks	love, slow
There's a place	Beatles	Rock, Pop
Deep Love of Huangpu River	Yu Garden	love, sad
In Deep Autumn	Dimash	Solitude, sad
The Best Voice	Wakin Chau, Faye Wong, Hacken Lee, Aaron Kwok, Ekin Cheung	Mashup, instrumentals
